,object_fourier_descriptor_09,object_hu_moment_1,object_hu_moment_3,object_fourier_descriptor_05,object_kurtosis,object_structure,object_area,object_fourier_descriptor_06,object_hu_moment_4,object_graymean,object_hu_moment_7,object_fourier_descriptor_02,object_fourier_descriptor_03,object_area_px,object_haul,object_fourier_descriptor_01,object_fourier_descriptor_07,object_fourier_descriptor_04,object_skewness,object_hu_moment_5,object_hu_moment_6,object_width,object_lenght,object_convexity,object_form,object_fourier_descriptor_10,object_index,object_dr._haardt_fluorescence_channel_a,object_conductivity,object_fourier_descriptor_08,object_hu_moment_2,taxon
34894,50.16341196,0.161646776,0.00010748200000000001,113.01767690000001,-0.244908436,7467.485645000001,0.532,22.63107355,3.71e-08,71.0,-6.66e-14,8711.342770000001,245.8096643,4093.0,53.0,34204.57291,129.1457631,58.010955599999996,1.2356682540000001,-3.24e-14,-2.93e-10,0.0,0.0,3.6753833289999998,1.680433333,32.02652694,37024.0,5.121,31.447,50.5437874,6.27e-05,bubble
40364,63.29890182,0.166513472,0.000169026,46.66398796,-0.6263684620000001,1455.113286,0.132,27.41661666,7.64e-08,83.0,2.75e-13,2144.001546,147.2365339,1012.0,53.0,16432.753269999997,73.87200356,104.28576170000001,0.994449092,-4.279999999999999e-15,-1.0800000000000002e-09,0.0,0.0,4.0,1.585493799,21.470183,43180.0,5.121,32.683,10.56850355,0.000995451,bubble
38075,411.9146784,0.175550055,0.000444632,1620.941249,0.01109885,10991.34203,0.6940000000000001,643.1169172,3.02e-05,68.0,-1.0000000000000001e-11,14486.7123,6087.718298,5341.0,53.0,68268.05995,247.18427830000002,149.3731353,1.324540853,-3.4899999999999997e-09,-1.28e-06,0.0,0.0,24.60053062,3.249223268,207.7234899,40669.0,2.1590000000000003,33.858000000000004,634.8108562000001,0.001803203,bubble
40372,853.9753387000001,0.173053307,0.000401329,3120.448891,-0.156146461,24358.029319999998,1.52,1611.451076,2.52e-05,71.0,1.98e-09,30409.457980000003,17199.42825,11695.0,53.0,121701.4497,635.1565939,5255.441747999999,1.242509385,-1.58e-09,-1.51e-07,0.0,0.0,39.66184616,3.756174611,307.9612733,43188.0,5.121,32.683,989.2089083999999,0.000118249,bubble
40141,101.94701090000001,0.16462201099999998,0.000106413,265.1847935,-0.13003990099999999,28322.10536,1.8030000000000002,1286.137045,4.89e-06,69.0,4.85e-11,32295.28722,11523.46189,13876.0,2.0,98660.67327999999,1639.585142,1611.4323359999999,1.28672441,-1.01e-10,-3.99e-08,0.0,0.0,22.66566658,2.276067718,176.2166741,40142.0,5.121,31.386999999999997,1124.7394060000001,0.000121603,bubble
39685,896.9480775000001,0.25124466100000004,0.0013574179999999998,1206.847877,-0.84180401,9719.3734,0.664,1408.439668,0.000508304,83.0,-2.1800000000000002e-07,16700.84796,11760.29301,5107.0,53.0,74008.36866000001,946.6561769,2806.606284,0.95982712,3.61e-07,3.07e-05,0.0,0.0,3.579352617,6.322391401,478.4578114,42450.0,5.121,33.861999999999995,589.5082587999999,0.01322387,bubble
40371,64.0597153,0.162500291,5.98e-06,64.84790069,-0.838024661,4445.153792,0.295,111.586178,6.259999999999999e-08,82.0,-2.91e-14,5151.108661,298.2813691,2271.0,53.0,28568.21412,132.4144597,113.89268349999999,0.938361157,2.49e-14,2.83e-10,0.0,0.0,3.570955515,1.7268602240000002,83.56241109,43187.0,5.121,32.683,144.5920831,8.01e-05,bubble
34856,1469.142321,0.179489265,0.000496818,3037.729422,0.163342572,25277.945219999998,1.544,1778.9538420000001,4.5600000000000004e-05,65.0,3.5399999999999998e-09,34733.33383,17402.91632,11881.0,53.0,123697.6634,972.5966171,5251.939958,1.383742504,-5.870000000000001e-09,-1.99e-06,0.0,0.0,145.66400149999998,3.950370375,205.0316486,36986.0,2.116,31.159000000000002,2110.210384,0.0027288359999999997,bubble
39000,245.16382459999997,0.172457904,0.000304372,1556.963314,-0.479740637,8713.010021,0.588,816.3938496000001,2.0600000000000003e-05,75.0,-4.91e-10,11943.45696,5955.661690999999,4525.0,53.0,61509.15281,242.0452287,1126.676777,1.145675275,-1.56e-09,-7.259999999999999e-07,0.0,0.0,30.23116112,3.435534599,59.51024382,41711.0,2.155,34.181999999999995,262.1311846,0.001237016,bubble
42494,834.4677682999999,0.17767520399999998,0.000491331,3252.0698039999997,0.733600403,22969.6719,1.3519999999999999,1452.529766,4.11e-05,57.0,1.1e-09,28032.05909,13451.26427,10400.0,10.0,140912.3048,646.4395298,3393.566394,1.5721791330000001,-5.749999999999999e-09,-1.74e-06,0.0,0.0,40.79449081,3.353134785,623.04898,42780.0,2.269,26.719,600.3670711,0.001986888,bubble
