,object_fourier_descriptor_09,object_hu_moment_1,object_hu_moment_3,object_fourier_descriptor_05,object_kurtosis,object_structure,object_area,object_fourier_descriptor_06,object_hu_moment_4,object_graymean,object_hu_moment_7,object_fourier_descriptor_02,object_fourier_descriptor_03,object_area_px,object_haul,object_fourier_descriptor_01,object_fourier_descriptor_07,object_fourier_descriptor_04,object_skewness,object_hu_moment_5,object_hu_moment_6,object_width,object_lenght,object_convexity,object_form,object_fourier_descriptor_10,object_index,object_dr._haardt_fluorescence_channel_a,object_conductivity,object_fourier_descriptor_08,object_hu_moment_2,taxon
40181,387.67694930000005,0.172775055,7.28e-05,2727.462378,-0.608687625,10646.592270000001,0.7240000000000001,1288.327335,6.67e-06,79.0,3.86e-11,16054.422569999999,5194.459382,5568.0,53.0,77258.20477000001,814.0961533,2128.259625,1.085064168,-1.42e-10,-2.1e-07,0.0,0.0,27.2800293,3.731736283,323.54817389999994,42989.0,5.121,32.751,451.7942932,0.001137881,bubble
38773,1672.3264960000001,0.282531517,0.002481305,1851.902909,0.14134514,15435.86375,0.8440000000000001,502.6367117,0.0008702889999999999,65.0,1.05e-06,22733.75716,16982.06469,6495.0,53.0,97460.53147999999,3112.966105,2312.807379,1.367978816,7.31e-07,-1.44e-06,0.0,0.0,2.9819972519999998,6.965172999,58.10716266,41473.0,2.121,34.123000000000005,148.75694280000002,0.016989195,bubble
39625,21.19876317,0.159752361,6.88e-06,111.6702752,0.726805302,63995.59187999999,4.272,639.35258,9.17e-10,58.0,2.96e-17,61391.28485,131.6501263,32869.0,2.0,131908.6061,531.7146949,855.8443649000001,1.577108021,6.659999999999999e-17,9.369999999999999e-12,0.0,0.0,2.868139029,1.206677687,165.3362293,39626.0,4.3,34.436,64.78318981,0.000105276,bubble
34793,64.92219851,0.162220674,0.000131405,128.28237190000002,-0.021669591000000002,7968.708709,0.5329999999999999,31.90055735,6.04e-08,67.0,1.05e-13,9126.009889,210.34252310000002,4102.0,53.0,40891.55024,93.82066322,163.1097833,1.319642557,-1.34e-13,-7.96e-10,0.0,0.0,5.162131786000001,1.816417044,81.71151658,36916.0,2.178,31.13,31.61986716,0.000196062,bubble
37317,27.90372978,0.160174062,2.1600000000000003e-05,310.9019101,0.01550492,29779.775489999996,1.939,136.19845700000002,1.3899999999999999e-08,68.0,3.67e-16,29857.39892,1240.124926,14923.0,53.0,89132.77967999999,374.1236153,226.2777635,1.320332453,-7.58e-15,-2.62e-11,0.0,0.0,6.717701912000001,1.4865519040000001,36.01142203,39814.0,2.121,30.399,84.21500552,1.3800000000000002e-05,bubble
38862,516.3154784,0.26602054399999997,0.001987861,981.1617633999999,0.128375476,7782.182311,0.409,1078.6345789999998,0.000420295,65.0,-2.1300000000000001e-07,10762.783459999999,7181.412306,3149.0,53.0,55252.65761,361.7026108,2045.399914,1.372195141,-3.19e-07,-4.3200000000000007e-05,0.0,0.0,3.40277648,6.292117181,353.9152182,41563.0,5.121,34.15,626.8957282,0.014059901999999999,bubble
40233,213.6298466,0.160322754,5.35e-06,622.170931,0.139499971,37650.78976,2.35,476.6429102,4.4100000000000004e-08,65.0,2.13e-14,36502.39327,1755.3483260000003,18082.0,53.0,99476.52838999999,616.2719728,703.1464137999999,1.3850704040000001,2.07e-15,6.709999999999999e-13,0.0,0.0,3.742697239,1.4097911140000001,305.8424762,43048.0,5.121,32.751,327.80757969999996,7.890000000000001e-05,bubble
46656,549.0101984,0.21004341899999998,0.0018586829999999999,412.2308399,-0.027557911,4287.1677420000005,0.20199999999999999,499.6384456999999,0.000289311,66.0,-5.03e-08,6827.903187000001,559.275147,1551.0,10.0,82553.35033,371.8711255,698.259055,1.322444585,2.0600000000000002e-07,1.6899999999999997e-05,0.0,0.0,16.56146812,6.284817374,343.5183038,46942.0,5.121,0.0037,129.1666477,0.003646726,bubble
40348,69.78453248,0.166104222,0.000210906,403.1268465,-0.856472097,4083.41631,0.315,164.415704,2.0399999999999997e-07,92.0,-1.33e-12,5409.936238,650.0396023,2426.0,53.0,44446.28077,119.6786456,327.144817,0.84764597,1.3699999999999997e-13,-2.88e-10,0.0,0.0,8.497057915,1.8579391619999999,85.25307005,43164.0,5.121,32.683,156.30531169999998,0.00018733,bubble
42479,591.0948647999999,0.193326179,0.00065391,8822.408779000001,1.0765361709999999,27282.026,1.357,565.7433762999999,6.78e-05,54.0,1.14e-08,30355.022610000004,25244.44372,10438.0,10.0,191828.6082,4913.615094,21559.345530000002,1.669514687,8.6e-09,9.459999999999999e-07,0.0,0.0,2.657780647,8.277258469,846.4310863,42765.0,2.269,26.719,2296.8372510000004,0.0034978220000000003,bubble
