Label;Zero crossing rate;total energy;Standard deviation;Spectral centroid;Spectral rolloff;Spectral flatness
Class A;371;0.0005731792823935394;0.023932955747291165;408.9462538460046;1503.3206259305712;0.0002742239157669246
Class A;352;0.002457597394270124;0.049574032710270416;408.9462538460046;1503.3206259305712;0.0002742239157669246
Class A;346;0.001773351419416334;0.04211090568115593;408.9462538460046;1503.3206259305712;0.0002742239157669246
Class A;319;0.002329043231642572;0.04825853130459466;408.9462538460046;1503.3206259305712;0.0002742239157669246
Class A;354;0.0021474003898426116;0.046337985361244186;408.9462538460046;1503.3206259305712;0.0002742239157669246
Class A;363;0.0022768388298766997;0.04771608360056583;408.9462538460046;1503.3206259305712;0.0002742239157669246
Class A;325;0.00367976740989252;0.06066007672872985;408.9462538460046;1503.3206259305712;0.0002742239157669246
Class A;319;0.00291956839436898;0.054023388850446274;408.9462538460046;1503.3206259305712;0.0002742239157669246
Class A;283;0.0009096299035882112;0.03013132215387323;442.47299239054917;1659.8035107433031;0.0003868985513690859
Class A;439;0.00037972355409874583;0.01948546977041992;442.47299239054917;1659.8035107433031;0.0003868985513690859
Class A;236;0.0007666383760418587;0.02766975994446553;442.47299239054917;1659.8035107433031;0.0003868985513690859
Class A;383;0.0011635941970938196;0.03411136970177874;442.47299239054917;1659.8035107433031;0.0003868985513690859
Class A;335;0.002802884883606263;0.05292987462257214;442.47299239054917;1659.8035107433031;0.0003868985513690859
Class A;372;0.004693535885957924;0.06850874697768831;442.47299239054917;1659.8035107433031;0.0003868985513690859
Class A;356;0.0029996243576169944;0.054768826106979876;442.47299239054917;1659.8035107433031;0.0003868985513690859
Class A;328;0.002646635713909442;0.0514453998134759;442.47299239054917;1659.8035107433031;0.0003868985513690859
Class A;347;0.001020519617246464;0.031941464785113664;430.8317758795863;1642.9510769999185;0.000266772520262748
Class A;642;0.00031058148723483704;0.01760534902315553;430.8317758795863;1642.9510769999185;0.000266772520262748
Class A;347;0.00048363936834114915;0.02198589213329817;430.8317758795863;1642.9510769999185;0.000266772520262748
Class A;419;0.0005764168665821974;0.024006742887245098;430.8317758795863;1642.9510769999185;0.000266772520262748
Class A;324;0.0005418298184328402;0.023239153980193668;430.8317758795863;1642.9510769999185;0.000266772520262748
Class A;340;0.0005358433040285794;0.02308841975406172;430.8317758795863;1642.9510769999185;0.000266772520262748
Class A;228;0.0008665835993597284;0.029436280959005898;430.8317758795863;1642.9510769999185;0.000266772520262748
Class A;271;0.0007674148815858643;0.02770212620438687;430.8317758795863;1642.9510769999185;0.000266772520262748
Class A;356;0.0005239634071670783;0.022765113891498417;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;392;0.0006268596362303166;0.025000963655429916;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;389;0.0004870103824165805;0.02204476944727797;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;339;0.00040691158401508194;0.020170370865558663;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;292;0.0008742140867204095;0.029563046204202838;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;344;0.0017194618903352723;0.041446990119892904;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;332;0.0014823777501878795;0.038477219545745324;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;336;0.0023690273225462685;0.048655163213701176;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;358;0.0020394296551918766;0.04515237079769406;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;351;0.0027758824780758007;0.05267806940921172;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;352;0.002442028132112076;0.049415846556921;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;263;0.000864813981228508;0.02940757800638168;444.19353900065033;1651.7223643691957;0.00028602019301615655
Class A;250;0.000854581055396314;0.029226979736155952;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;347;0.0004918149876951551;0.02216899048881696;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;290;0.0008220733542305728;0.02862738555038658;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;258;0.002710335768041356;0.0520479425245764;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;306;0.00381509584892774;0.06176642994716767;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;273;0.006734348569851136;0.08206291359775582;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;317;0.004242222371540265;0.06513197090002931;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;291;0.0018956192851765081;0.0435032150037027;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;258;0.002539650393523819;0.050371731665169964;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;288;0.004492913076304831;0.06702804141628842;400.2811959410056;1525.9108444565813;0.0002734384033828974
Class A;302;0.004175977922578265;0.06462067904554654;403.6624097171897;1514.841740968438;0.0002687427622731775
Class A;321;0.004067841549462173;0.06377567842217892;403.6624097171897;1514.841740968438;0.0002687427622731775
Class A;439;0.00047443926416841956;0.02178047488101259;403.6624097171897;1514.841740968438;0.0002687427622731775
Class A;308;0.0005240809331880882;0.022888940910975323;403.6624097171897;1514.841740968438;0.0002687427622731775
Class A;281;0.0005984421911416575;0.024395840902279534;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;402;0.0007894541440570417;0.02807142648033105;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;407;0.00034925124108364493;0.01867627456635722;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;458;0.0005782705971214455;0.024031299895746684;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;373;0.0016062327418961406;0.04007087595585031;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;354;0.003145570179845284;0.05607603716936206;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;334;0.0026364122859764997;0.05134582219851004;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;340;0.0024687776584372233;0.04967893307043568;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;373;0.0014356505714628535;0.03788257996554882;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;324;0.002347709220775869;0.04845246684745148;413.473178200248;1617.9075724371469;0.0002628321526572108
Class A;323;0.0007296189149007356;0.027011395107172147;411.0256981835047;1577.5364389759793;0.0002580024302005768
Class A;195;0.0012206819811641859;0.03493803424702977;411.0256981835047;1577.5364389759793;0.0002580024302005768
Class A;334;0.0020507221032166852;0.045281279387651203;411.0256981835047;1577.5364389759793;0.0002580024302005768
Class A;283;0.0019309937983731894;0.043941106626351006;411.0256981835047;1577.5364389759793;0.0002580024302005768
Class A;357;0.0016697501988188984;0.04086060880801267;411.0256981835047;1577.5364389759793;0.0002580024302005768
Class A;309;0.004001220496788543;0.06323603023315279;411.0256981835047;1577.5364389759793;0.0002580024302005768
